source,signal_code,keyword,confidence
jobs,devops_role_open,devops engineer,0.7
jobs,devops_role_open,site reliability engineer,0.75
jobs,platform_role_open,platform engineer,0.7
jobs,platform_role_open,internal developer platform,0.8
jobs,platform_role_open,cloud platform engineer,0.75
jobs,finops_role_open,finops,0.8
jobs,finops_role_open,cloud cost management,0.8
jobs,finops_role_open,cost governance,0.8
jobs,devops_bottleneck_language,reduce devops toil,0.8
jobs,idp_golden_path_initiative,golden path,0.8
jobs,idp_golden_path_initiative,paved road,0.8
jobs,idp_golden_path_initiative,self-serve environments,0.8
news,compliance_initiative,soc 2,0.8
news,compliance_initiative,iso 27001,0.8
news,compliance_initiative,hipaa,0.8
news,compliance_initiative,pci,0.8
news,compliance_initiative,data privacy compliance,0.75
news,audit_date_announced,audit date,0.8
news,audit_date_announced,compliance audit,0.75
news,launch_or_scale_event,new region launch,0.82
news,launch_or_scale_event,peak season readiness,0.84
news,launch_or_scale_event,large-scale commerce rollout,0.86
news,launch_or_scale_event,new distribution center,0.76
news,launch_or_scale_event,new fulfillment center,0.76
news,erp_s4_migration_milestone,sap s/4hana rollout,0.88
news,erp_s4_migration_milestone,sap s/4 migration,0.86
news,erp_s4_migration_milestone,ecc sunset,0.86
news,erp_s4_migration_milestone,erp modernization phase-2,0.84
news,erp_s4_migration_milestone,ecc modernization,0.78
news,supply_chain_platform_rollout,supply chain control tower,0.84
news,supply_chain_platform_rollout,control tower,0.82
news,supply_chain_platform_rollout,demand planning platform,0.82
news,supply_chain_platform_rollout,warehouse digitization,0.8
news,supply_chain_platform_rollout,distribution platform,0.8
news,cost_reduction_mandate,reduce cloud cost,0.82
news,cost_reduction_mandate,cloud cost takeout,0.84
news,cost_reduction_mandate,cost optimization program,0.84
news,cost_reduction_mandate,efficiency program,0.74
news,cost_reduction_mandate,margin improvement program,0.8
news,cost_reduction_mandate,cost transformation office,0.82
news,cost_reduction_mandate,cost reduction mandate,0.84
news,vendor_consolidation_program,tool consolidation,0.78
news,vendor_consolidation_program,vendor consolidation,0.82
news,vendor_consolidation_program,platform standardization,0.8
news,governance_enforcement_need,budgets and quotas,0.7
news,governance_enforcement_need,policy enforcement,0.82
news,governance_enforcement_need,policy-based controls,0.8
news,governance_enforcement_need,audit logs,0.72
news,governance_enforcement_need,unit economics,0.75
news,governance_enforcement_need,risk controls,0.75
news,governance_enforcement_need,audit readiness,0.82
news,high_intent_phrase_cost_control,cost is out of control,0.8
news,high_intent_phrase_production_fast,production-ready fast,0.75
news,poc_stage_progression,pilot expanded,0.9
news,poc_stage_progression,go-live date set,0.9
news,poc_stage_progression,security review started,0.9
news,poc_stage_progression,procurement process initiated,0.9
news,poc_stage_progression,procurement opened,0.9
news,poc_stage_progression,legal review opened,0.9
news,poc_stage_progression,success criteria signed,0.92
technographics,kubernetes_detected,kubernetes,0.7
technographics,kubernetes_detected,eks,0.7
technographics,kubernetes_detected,gke,0.7
technographics,kubernetes_detected,aks,0.7
technographics,terraform_detected,terraform,0.7
technographics,gitops_detected,argocd,0.7
technographics,gitops_detected,flux,0.7
technographics,tooling_sprawl_detected,rancher,0.6
technographics,tooling_sprawl_detected,helm,0.6
technographics,tooling_sprawl_detected,spacelift,0.65
technographics,tooling_sprawl_detected,atlantis,0.65
technographics,enterprise_modernization_program,digital transformation,0.45
technographics,data_platform_initiative,data platform,0.62
technographics,cloud_platform_messaging,cloud platform,0.6
technographics,compliance_governance_messaging,security compliance,0.66
technographics,compliance_governance_messaging,data governance,0.66
technographics,compliance_governance_messaging,data governance program,0.68
technographics,governance_enforcement_need,policy enforcement,0.68
technographics,governance_enforcement_need,risk controls,0.66
technographics,governance_enforcement_need,audit readiness,0.68
technographics,cost_reduction_mandate,cost optimization,0.62
technographics,supply_chain_platform_rollout,supply chain platform,0.74
technographics,supply_chain_platform_rollout,control tower platform,0.74
technographics,erp_s4_migration_milestone,s/4hana,0.78
technographics,vendor_consolidation_program,platform standardization,0.74
technographics,vendor_consolidation_program,tool consolidation,0.74
community,high_intent_phrase_production_fast,production-ready fast,0.8
community,high_intent_phrase_devops_toil,devops is a ticketing system,0.8
community,high_intent_phrase_devops_toil,infra is the bottleneck,0.8
community,high_intent_phrase_cost_control,cost is out of control,0.8
community,env_spinup_requests,spin up staging,0.7
community,env_spinup_requests,new cluster,0.7
community,env_spinup_requests,preview environments,0.75
community,governance_enforcement_need,continuous enforcement,0.8
community,governance_enforcement_need,rightsizing with confidence,0.75
community,idp_golden_path_initiative,golden paths,0.78
community,poc_stage_progression,pilot expanded,0.88
community,poc_stage_progression,go-live date,0.88
community,poc_stage_progression,security review,0.86
community,poc_stage_progression,success criteria signed,0.9
community,poc_stage_progression,procurement opened,0.88
community,poc_stage_progression,legal review opened,0.88
community,vendor_consolidation_program,tool consolidation,0.75
community,vendor_consolidation_program,single control plane,0.8
news,enterprise_modernization_program,digital transformation,0.45
news,data_platform_initiative,data platform,0.62
news,cloud_platform_messaging,cloud platform,0.6
news,compliance_governance_messaging,data governance,0.72
news,compliance_governance_messaging,data governance program,0.74
news,compliance_governance_messaging,security compliance,0.7
news,compliance_governance_messaging,policy enforcement,0.72
news,compliance_governance_messaging,audit readiness,0.72
news,media_traffic_reliability_pressure,traffic surge,0.84
news,media_traffic_reliability_pressure,ad stack outage,0.88
news,media_traffic_reliability_pressure,ad stack reliability,0.9
news,media_traffic_reliability_pressure,cdn reliability incident,0.9
news,media_traffic_reliability_pressure,paywall performance,0.84
news,media_traffic_reliability_pressure,performance incident,0.84
